,Names,Prices,Ratings
146,"Lenovo K10 Note (Black, 64 GB)","₹9,999",4.2
147,"Samsung Galaxy A50 (Black, 64 GB)","₹15,899",4.3
148,"Nokia 7.2 (Ice, 64 GB)","₹17,099",4.2
149,"Realme X (Super Polar White, 128 GB)","₹21,999",4.5
150,"Redmi 8 (Emerald Green, 64 GB)","₹8,999",4.4
151,"Vivo S1 (Skyline Blue, 128 GB)","₹19,990",4.5
152,"Vivo S1 (Diamond Black, 128 GB)","₹19,990",4.5
153,"Tecno Camon 15 Pro (Ice Jadite, 128 GB)","₹14,999",3.5
154,"Tecno Camon 15 Pro (Opal White, 128 GB)","₹14,999",3.5
155,Lava A7,"₹1,429",4.2
156,"OPPO A5s (Blue, 32 GB)","₹8,990",4.3
157,Samsung Metro 313 Dual Sim,"₹2,120",4.2
158,"OPPO A5 2020 (Dazzling White, 64 GB)","₹13,990",4.4
159,"Apple iPhone 8 (Silver, 64 GB)","₹38,999",4.5
160,"Vivo V17 (Midnight Ocean Black, 128 GB)","₹24,990",4.5
161,"OnePlus 7 (Mirror Blue, 128 GB)","₹29,999",4.6
162,"OnePlus 7 (Red, 256 GB)","₹31,449",4.6
163,"Realme 3 (Radiant Blue, 32 GB)","₹8,499",4.4
164,"Realme 3 (Radiant Blue, 64 GB)","₹9,499",4.4
165,"Realme 3 (Black, 32 GB)","₹8,499",4.4
166,"Realme 3 (Dynamic Black, 64 GB)","₹9,499",4.4
167,"Realme 3 (Dynamic Black, 32 GB)","₹8,499",4.4
168,"OnePlus 7T (Glacier Blue, 128 GB)","₹35,105",4.6
169,Lava A1200,"₹1,055",4.2
170,"Redmi Note 7S (Onyx Black, 64 GB)","₹11,999",4.4
171,"OPPO A3s (Red, 64 GB)","₹10,599",4.3
172,Samsung Guru FM Plus,"₹1,500",4.2
173,"Meizu C9 Pro (Gold, 32 GB)","₹4,490",4.1
174,"Apple iPhone 11 (Purple, 128 GB)","₹69,900",4.7
175,Lava A7,"₹1,299",4.2
176,Itel It 2190,₹870,4.1
177,Itel It 2190,₹851,4.1
178,Micromax X421,₹869,4.2
179,"Mi A3 (More Than White, 128 GB)","₹14,999",4.3
180,"Karbonn Viraat Plus (Black, 16 GB)","₹3,499",4
181,Micromax X380,₹775,4
182,"Samsung Galaxy A10s (Black, 32 GB)","₹9,480",4.4
183,Karbonn K2 Boom Box,₹666,3.9
184,Micromax X744,₹949,3.9
185,"Gionee F9 (Champagne, 32 GB)","₹5,499",4.1
186,"Vivo U20 (Blaze Blue, 64 GB)","₹12,990",4.4
187,"Motorola One Action (Denim Blue, 128 GB)","₹10,999",4.2
188,Nokia 105,"₹1,299",4.2
189,"Realme 3 (Radiant Blue, 64 GB)","₹10,499",4.4
190,"Apple iPhone 11 (Green, 128 GB)","₹69,900",4.7
191,Samsung Guru FM Plus SM-B110E/D,"₹1,500",4.3
192,I Kall K2180,₹639,3.7
193,"OPPO Reno3 Pro (Sky White, 128 GB)","₹31,990",4.6
194,"OPPO Reno3 Pro (Midnight Black, 128 GB)","₹31,990",4.6
195,Micromax X749,"₹1,069",4.4
196,"Lenovo K9 (Black, 32 GB)","₹6,499",4.2
197,"Motorola One Macro (Ultra Violet, 64 GB)","₹9,499",4.3
198,"Apple iPhone 11 (White, 128 GB)","₹69,900",4.7
199,"OPPO A5 2020 (Mirror Black, 64 GB)","₹12,490",4.4
200,Nokia 110,"₹1,647",4.1
201,"Coolpad Mega 5A (Gold, 16 GB)","₹4,250",3.8
202,"Apple iPhone 6s (Gold, 32 GB)","₹25,299",4.5
203,"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","₹25,299",4.4
204,"OPPO K1 (Astral Blue, 64 GB)","₹14,990",4.4
205,Gfive U873,₹599,3.8
206,Gfive U873,₹639,3.8
207,"Moto E6s (Rich Cranberry, 64 GB)","₹7,499",4.1
208,"Micromax Bharat 5 Pro (Jet Black, 32 GB)","₹5,199",4
209,"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹12,999",4.5
210,"Apple iPhone 11 (Black, 64 GB)","₹64,900",4.7
211,"Honor 9X (Sapphire Blue, 128 GB)","₹16,999",4.4
212,"Honor 9X (Sapphire Blue, 128 GB)","₹13,999",4.4
213,"Tecno Spark Go Plus (Hillier Purple, 32 GB)","₹6,299",4.3
214,Samsung Metro 313 Dual Sim,"₹2,294",4.3
215,"Apple iPhone 11 (Purple, 64 GB)","₹64,900",4.7
216,I Kall K73 Combo of Two Mobiles,₹999,3
217,"Mi A3 (Not just Blue, 128 GB)","₹14,999",4.3
218,Kechaoda K66 Plus,₹949,4.1
219,"OPPO A9 2020 (Vanilla Mint, 128 GB)","₹15,990",4.4
220,"OPPO A9 2020 (Marine Green, 128 GB)","₹15,990",4.4
221,"OPPO A9 2020 (Space Purple, 128 GB)","₹15,990",4.4
222,"OPPO A5s (Black, 32 GB)","₹9,490",4.4
223,"OPPO A5s (Gold, 64 GB)","₹11,590",4.3
224,"OPPO A5s (Green, 64 GB)","₹11,590",4.3
